"","volatile.acidity","citric.acid","sulphates","alcohol","quality"
"142",0.715,0.15,0.77,9.5,"5"
"143",0.34,0,0.79,14,"6"
"144",0.39,0.08,0.58,9.4,"5"
"145",0.34,0,0.79,14,"6"
"146",0.67,0.55,0.62,9.4,"5"
"147",0.68,0.02,0.52,10,"5"
"148",0.49,0.26,0.8,9.3,"5"
"149",0.49,0.1,0.58,10.2,"6"
"150",0.4,0.44,0.61,10.5,"6"
"151",0.33,0.47,0.53,10.3,"6"
"152",0.52,1,2,9.4,"4"
"153",0.6,0.03,0.54,10.1,"5"
"154",0.6,0.03,0.54,10.1,"5"
"155",0.43,0.42,0.72,10.5,"5"
"156",0.43,0.42,0.71,10.5,"5"
"157",0.43,0.42,0.72,10.5,"5"
"158",0.43,0.42,0.71,10.5,"5"
"159",0.68,0,0.5,9.3,"5"
"160",0.6,0.18,0.57,9.3,"6"
"161",0.95,0.03,0.56,9.6,"5"
"162",0.68,0.02,1.08,9.2,"4"
"163",0.53,0.04,0.56,10,"6"
"164",0.6,0.26,0.49,9.4,"5"
"165",0.59,0.26,0.49,9.4,"5"
"166",0.63,0.48,0.62,9.5,"5"
"167",0.64,0.1,0.52,10.2,"5"
"168",0.55,0.03,0.48,9,"4"
"169",0.63,0.07,0.55,10.4,"6"
"170",0.705,0.24,1.59,9.5,"5"
"171",0.885,0.03,0.33,9.1,"4"
"172",0.42,0.17,0.61,9.2,"6"
"173",0.42,0.17,0.61,9.2,"6"
"174",0.62,0.05,0.57,11.5,"6"
"175",0.38,0.21,0.47,9.5,"5"
"176",0.5,0.04,0.78,9.5,"5"
"177",0.38,0.21,0.47,9.5,"5"
"178",0.52,0.42,0.61,10.5,"6"
"179",0.805,0,0.56,9.6,"5"
"180",0.61,0.14,0.59,9.5,"5"
"181",0.61,0.14,0.59,9.5,"5"
"182",0.61,0.49,1.02,9.3,"5"
"183",0.73,0.02,0.52,9.3,"5"
"184",0.61,0.2,0.58,9.3,"5"
"185",0.62,0.21,0.58,9.3,"6"
"186",0.31,0.57,0.53,9.7,"5"
"187",0.39,0.48,0.55,9.2,"5"
"188",0.705,0.1,0.49,9.7,"5"
"189",0.5,0.33,0.55,9.5,"5"
"190",0.49,0.32,0.55,9.5,"5"
"191",0.5,0.35,0.62,9.4,"5"
"192",0.37,0.25,0.62,9.8,"6"
"193",0.63,0.12,0.61,9.5,"5"
"194",0.55,0.21,0.55,9.7,"5"
"195",0.55,0.21,0.55,9.7,"5"
"196",0.59,0.33,0.54,9.4,"5"
"197",0.58,0.3,0.59,10.2,"5"
"198",0.3,0.6,0.97,10.1,"6"
"199",0.835,0.08,0.85,13,"7"
"200",1.09,0.06,0.43,11.4,"4"
"201",0.32,0.47,0.82,10.3,"7"
"202",0.37,0.48,1.03,9.3,"5"
"203",0.5,0.11,0.79,9.5,"5"
"204",0.42,0.35,0.55,9.2,"5"
"205",0.43,0.36,0.56,9.2,"6"
"206",0.3,0.74,0.77,10.8,"7"
"207",0.3,0.74,0.77,10.8,"7"
"208",0.57,0.31,0.53,9.3,"5"
"209",0.44,0.28,0.67,9.4,"5"
"210",0.3,0.58,0.88,10.5,"7"
"211",0.53,0.6,0.86,12.4,"6"
"212",0.725,0.24,0.56,10,"6"
"213",0.44,0.64,0.67,10.2,"6"
"214",0.57,0.26,0.43,10.1,"5"
"215",0.735,0.08,0.71,9.8,"6"
"216",0.49,0.49,0.76,10.5,"5"
"217",0.625,0.16,0.57,11,"5"
"218",0.725,0.22,0.55,9.1,"5"
"219",0.49,0.19,0.54,9.7,"5"
"220",0.53,0.33,0.6,9.5,"5"
"221",0.34,0.37,0.59,9.4,"6"
"222",0.53,0.26,0.57,9.4,"5"
"223",0.61,0.04,0.6,9.5,"5"
"224",0.645,0.25,0.6,10,"6"
"225",0.635,0.36,0.57,10.4,"4"
"226",0.43,0.25,0.58,10.5,"6"
"227",0.59,0.5,1.61,9.5,"6"
"228",0.82,0.14,0.63,9.8,"5"
"229",0.43,0.25,0.58,10.5,"6"
"230",0.52,0.25,0.5,11,"5"
"231",0.48,0.04,0.62,12.2,"7"
"232",0.38,0.06,0.52,9.9,"6"
"233",0.37,0.2,0.7,9.6,"6"
"234",0.52,0.25,0.5,11,"5"
"235",1,0.09,0.55,9,"6"
"236",0.63,0,0.58,9,"6"
"237",0.63,0,0.58,9,"6"
"238",0.645,0,0.58,9.2,"6"
"239",0.63,0,0.58,9,"6"
"240",1,0.09,0.55,9,"6"
"241",0.635,0.37,1.09,9.3,"5"
"242",0.38,0.56,0.71,10.9,"6"
"243",0.58,0.1,0.49,9.8,"6"
"244",0.21,0.44,0.84,9.2,"7"
"245",0.21,0.44,0.84,9.2,"7"
"246",0.66,0,0.96,9.9,"6"
"247",0.68,0.07,0.52,9.5,"5"
"248",0.6,0.17,0.45,9.3,"5"
"249",0.53,0.06,0.48,9.8,"6"
"250",0.66,0,0.96,9.9,"6"
"251",0.32,0.44,0.78,10,"6"
"252",0.6,0,0.7,9.9,"6"
"253",0.35,0.48,0.53,10.5,"5"
"254",0.775,0.42,0.59,9.5,"5"
"255",0.6,0,0.7,9.9,"6"
"256",0.57,0.23,0.57,9.3,"5"
"257",0.34,0.37,0.62,9.2,"5"
"258",0.695,0,0.67,9.2,"5"
"259",0.41,0.76,1.26,9.4,"5"
"260",0.31,0.47,0.8,10.5,"7"
"261",0.33,0.23,0.65,9.3,"5"
"262",0.975,0.04,0.6,9.4,"4"
"263",0.52,0.03,0.57,10,"5"
"264",0.37,0.23,0.67,9.3,"5"
"265",0.56,0.49,0.87,10.9,"5"
"266",0.26,0.52,0.72,10.2,"7"
"267",0.87,0,0.72,9.8,"4"
"268",0.35,0.46,0.86,12.8,"8"
"269",0.54,0.04,0.91,9.4,"6"
"270",0.18,0.51,0.97,10.1,"6"
"271",0.545,0.06,0.67,10.7,"6"
"272",0.18,0.51,0.97,10.1,"6"
"273",0.37,0.58,0.78,10.1,"5"
"274",0.715,0.2,0.64,9.4,"5"
"275",0.65,0.18,0.77,9.4,"5"
"276",0.545,0.06,0.67,10.7,"6"
"277",0.54,0.04,0.91,9.4,"6"
"278",0.18,0.51,0.97,10.1,"6"
"279",0.32,0.45,0.82,12.6,"8"
"280",0.4,0.32,0.77,10.5,"7"
"281",0.26,0.44,0.82,9.3,"6"
"282",0.27,0.68,1.08,9.9,"7"
"283",0.52,0.12,0.57,9.1,"5"
"284",0.4,0.32,0.77,10.5,"7"
"285",0.59,0.07,0.71,9.8,"5"
"286",0.59,0.07,0.71,9.8,"5"
"287",0.45,0.55,0.76,10.3,"6"
"288",0.4,0.12,0.7,10.3,"6"
"289",0.52,0.09,0.86,10.6,"7"
"290",0.42,0.53,0.95,9.2,"5"
"291",0.52,0.09,0.86,10.6,"7"
"292",0.2,0.48,0.71,10.5,"5"
"293",0.55,0.23,0.64,10.3,"6"
"294",0.36,0.25,0.6,10.1,"6"
"295",0.34,0.52,0.81,9.5,"6"
"296",0.5,0.46,0.64,9.5,"5"
"297",0.83,0.37,0.52,9.9,"5"
"298",0.63,0.06,0.73,9.6,"5"
"299",0.65,0.02,0.8,9.7,"5"
"300",0.67,0.06,0.71,9.6,"5"
"301",0.53,0.06,0.59,10.7,"6"
"302",0.18,0.48,0.64,10.1,"6"
"303",0.705,0.12,0.72,10,"5"
"304",0.67,0.12,0.54,9.5,"5"
"305",0.65,0.6,0.52,9.2,"5"
"306",0.53,0.48,0.59,9.3,"6"
"307",0.62,0.32,0.52,9.4,"5"
"308",0.41,0.42,0.62,9.5,"6"
"309",0.43,0.44,0.63,9.5,"6"
"310",0.29,0.38,0.53,9.5,"6"
"311",0.53,0.48,0.59,9.3,"6"
"312",0.53,0.24,0.54,9.4,"6"
"313",0.46,0.31,0.63,9.5,"6"
"314",0.47,0.3,0.53,9.4,"5"
"315",0.36,0.29,0.68,11,"5"
"316",0.35,0.29,0.65,11,"6"
"317",0.56,0.23,0.65,10.1,"5"
"318",0.77,0.12,0.64,10.4,"6"
"319",0.66,0.39,0.71,11.5,"7"
"320",0.77,0.12,0.64,10.4,"6"
"321",0.66,0.39,0.71,11.5,"7"
"322",0.61,0.26,0.62,9.7,"5"
"323",0.62,0.05,0.63,9.3,"5"
"324",0.59,0.42,0.7,9.5,"6"
"325",0.49,0.2,0.69,9.2,"6"
"326",0.49,0.2,0.69,9.2,"6"
"327",0.53,0.66,0.74,11.5,"7"
"328",0.44,0.5,0.83,11.5,"5"
"329",0.27,0.62,0.67,9.7,"6"
"330",0.46,0.39,0.62,9.5,"5"
"331",0.36,0.64,0.66,12.5,"6"
"332",0.36,0.64,0.66,12.5,"6"
"333",0.58,0.28,0.54,9.4,"6"
"334",0.56,0.08,0.52,11,"5"
"335",0.65,0.01,0.74,11.7,"7"
"336",0.695,0.53,0.84,12.2,"7"
"337",0.43,0.45,0.7,12.5,"6"
"338",0.43,0.32,0.64,10.3,"5"
"339",0.49,0.58,1,11.5,"6"
"340",0.28,0.54,1.36,9.8,"7"
"341",0.34,0.5,1.18,9.2,"6"
"342",0.42,0.48,0.87,11.3,"6"
"343",0.39,0.47,0.75,9.8,"6"
"344",0.39,0.47,0.75,9.8,"6"
"345",0.57,0.5,0.78,10.7,"6"
"346",0.685,0,0.81,9.9,"5"
"347",0.815,0.02,0.89,12.3,"7"
"348",0.49,0.67,0.93,12,"6"
"349",0.56,0.31,0.92,10,"6"
"350",0.785,0,0.86,9.4,"6"
"351",0.67,0.22,0.98,9.9,"6"
"352",0.795,0,0.83,9.4,"6"
"353",0.665,0,0.73,9.3,"5"
"354",0.53,0.79,0.77,13,"5"
"355",0.21,0.4,0.59,11.9,"6"
"356",0.75,0.01,0.61,12.8,"6"
"357",0.41,0.52,0.88,11,"5"
"358",0.42,0.66,0.75,11.7,"7"
"359",0.43,0.66,0.85,10.4,"7"
"360",0.38,0.66,0.68,9.8,"6"
"361",0.7,0.23,0.7,9.4,"5"
"362",0.45,0.31,0.91,9.9,"6"
"363",0.58,0.66,0.56,10,"5"
"364",0.46,0.63,0.87,10.2,"5"
"365",0.615,0.66,0.73,10,"7"
"366",0.42,0.5,0.93,11.8,"6"
"367",0.615,0.66,0.73,10,"7"
"368",0.575,0.61,0.69,9,"5"
"369",0.34,0.52,0.64,9.4,"5"
"370",0.27,0.53,1.13,12,"7"
"371",0.765,0.02,0.78,9.9,"5"
"372",0.24,0.4,0.87,8.7,"6"
"373",0.28,0.48,1.04,10.6,"6"
"374",0.55,0.22,0.63,9.2,"5"
"375",0.41,0.63,0.81,10.8,"6"
"376",0.54,0.71,0.83,11.8,"7"
"377",0.45,0.5,1.11,11,"6"
"378",0.27,0.53,1.13,12,"7"
"379",0.625,0.66,0.99,13.3,"6"
"380",0.42,0.38,0.7,10.8,"6"
"381",0.26,0.42,0.8,9.4,"6"
"382",0.415,0.68,0.8,10,"6"
"383",0.26,0.42,0.8,9.4,"6"
"384",0.26,0.42,0.8,9.4,"6"
"385",0.51,0.28,0.74,9.2,"5"
"386",0.63,0.07,0.76,9.7,"6"
"387",0.54,0.26,0.74,9.2,"6"
"388",0.66,0.15,0.54,9.6,"6"
"389",0.46,0.26,0.74,9.2,"6"
"390",0.38,0.31,0.7,10,"7"
"391",0.85,0.05,0.82,12.9,"8"
"392",0.415,0.68,0.8,10,"6"
"393",0.37,0.52,0.51,9.5,"5"
"394",0.665,0.61,0.54,9.1,"5"
"395",0.6,0.65,0.57,9.9,"5"
"396",0.37,0.76,0.6,13,"7"
"397",0.735,0.02,0.53,9.9,"5"
"398",0.59,0.59,0.65,11,"6"
"399",0.59,0.59,0.65,11,"6"
"400",0.765,0.22,0.55,9.4,"5"
"401",0.735,0.02,0.53,9.9,"5"
"402",0.26,0.3,0.47,10.8,"6"
"403",0.48,0.54,0.61,10.5,"6"
"404",0.6,0.49,0.63,10.5,"6"
"405",0.69,0.05,0.61,9.1,"5"
"406",0.31,0.46,0.76,10.1,"6"
"407",0.44,0.47,0.65,10.8,"6"
"408",0.39,0.66,0.63,10.8,"7"
"409",0.34,0.58,0.7,11.3,"6"
"410",0.46,0.49,0.57,9.6,"4"
"411",0.43,0.34,0.62,9.5,"6"
"412",0.45,0.35,0.62,9.5,"5"
"413",0.735,0.16,0.64,9.3,"5"
"414",0.4,0.53,0.82,11.7,"7"
"415",0.52,0.34,0.61,9.5,"5"
"416",0.725,0.24,1.07,9.3,"5"
"417",0.48,0.64,0.66,11.7,"6"
"418",0.58,0.12,0.48,10.5,"5"
"419",0.38,0.51,0.76,10.4,"6"
"420",0.77,0,0.68,9.9,"5"
"421",0.56,0.33,0.73,11.8,"7"
"422",0.84,0.03,0.56,12.3,"7"
"423",0.96,0.2,0.44,10.9,"5"
"424",0.24,0.47,0.9,11,"7"
"425",0.96,0.2,0.44,10.9,"5"
"426",0.84,0.03,0.56,12.3,"7"
"427",0.67,0.08,0.49,11.4,"6"
"428",0.78,0.22,0.56,10.6,"6"
"429",0.52,0.33,0.6,9.3,"5"
"430",0.84,0.63,0.6,10.4,"6"
"431",0.24,0.47,0.9,11,"7"
"432",0.55,0.35,0.56,9.2,"5"
"433",0.37,0.69,0.65,12.8,"6"
"434",0.39,0.63,0.49,9.5,"5"
"435",0.41,0.55,0.89,9.9,"6"
"436",0.39,0.63,0.49,9.5,"5"
"437",0.67,0.3,0.56,10.2,"6"
"438",0.45,0.73,0.66,11.2,"6"
"439",0.41,0.55,0.89,9.9,"6"
"440",0.62,0.18,0.6,9.3,"5"
"441",0.31,0.72,0.82,9.8,"8"
"442",0.4,0.65,0.68,11.3,"6"
"443",0.685,0.76,0.68,11.2,"7"
"444",0.44,0.49,0.63,11.6,"7"
"445",0.57,0.01,0.84,12.5,"7"
"446",0.735,0.1,0.56,10.1,"6"
"447",0.38,0.6,0.73,10.5,"5"
"448",0.48,0.29,0.72,11.2,"5"
"449",0.53,0.22,0.56,10.2,"6"
"450",0.39,0.69,0.61,10.8,"6"
"451",0.39,0.69,0.61,10.8,"6"
"452",0.37,0.53,1.06,9.1,"6"
"453",0.56,0.03,0.63,10,"6"
"454",0.33,0.63,0.74,11.2,"7"
"455",0.23,0.4,0.63,11.1,"5"
"456",0.62,0.67,0.69,13.4,"8"
"457",0.59,0.39,0.58,10.3,"5"
"458",0.63,0.21,0.58,9.6,"5"
"459",0.33,0.63,0.74,11.2,"7"
"460",0.58,0.66,0.57,9,"3"
"461",0.43,0.52,0.61,11.3,"6"
"462",0.615,0.22,0.61,9.3,"5"
"463",0.26,0.68,0.61,11.8,"5"
"464",0.66,0.7,0.53,9,"5"
"465",0.315,0.54,0.7,9.2,"6"
"466",0.29,0.4,0.91,9.7,"5"
"467",0.5,0.42,0.72,11.5,"6"
"468",0.46,0.45,0.79,14,"6"
"469",0.36,0.69,0.62,9.2,"6"
"470",0.82,0.02,0.58,9.8,"5"
"471",0.32,0.65,0.61,10.6,"5"
"472",0.54,0.42,0.71,11.4,"6"
"473",0.37,0.55,0.82,10.4,"6"
"474",0.35,0.55,0.79,10.6,"5"
"475",0.28,0.51,0.89,9.4,"6"
"476",0.68,0.24,0.6,10.2,"5"
"477",0.27,0.41,0.7,9.7,"5"
"478",0.24,0.49,1.06,11,"6"
"479",0.68,0.24,0.6,10.2,"5"
"480",0.685,0.11,0.7,10.1,"6"
"481",0.28,0.39,0.66,9.2,"5"
"482",0.3,0.56,0.92,11.7,"8"
"483",0.36,0.59,1.05,9.4,"5"
"484",0.36,0.6,1.06,9.4,"5"
"485",0.44,0.68,0.66,13.4,"6"
"486",0.67,0.39,0.47,10,"5"
"487",0.67,0.39,0.47,10,"5"
"488",0.645,0.36,0.42,10,"6"
"489",0.32,0.55,0.92,10.8,"7"
"490",0.39,0.4,0.75,10.2,"6"
"491",0.775,0.27,0.67,10.6,"6"
"492",0.41,0.5,0.79,13.3,"7"
"493",0.4,0.51,0.9,13.4,"7"
"494",0.69,0.31,0.74,11.6,"6"
"495",0.39,0.23,0.55,12.1,"6"
"496",0.35,0.53,0.65,11,"8"
"497",0.52,0.25,0.65,9,"6"
"498",0.34,0.32,0.79,11.1,"5"
"499",0.35,0.53,0.65,11,"8"
"500",0.69,0.31,0.74,11.6,"6"
"501",0.52,0.25,0.65,9,"6"
"502",0.44,0.73,0.85,12,"7"
"503",0.44,0.73,0.85,12,"7"
"504",0.26,0.47,1.04,10.9,"7"
"505",0.24,0.42,1.05,10.8,"7"
"506",0.49,0.63,0.78,12.5,"7"
"507",0.24,0.46,1.02,10.8,"7"
"508",0.67,0.55,0.71,9.5,"6"
"509",0.59,0.31,0.63,10.2,"6"
"510",0.29,0.75,0.68,11.4,"7"
"511",0.42,0.49,0.61,9.5,"5"
"512",0.59,0.31,0.63,10.2,"6"
"513",0.4,0.48,0.81,9.7,"6"
"514",0.51,0.64,0.66,11.8,"7"
"515",0.51,0.64,0.66,11.8,"7"
"516",0.655,0.49,1.14,9.3,"5"
"517",0.6,0.49,0.74,11.9,"6"
"518",0.61,0.49,0.63,8.4,"3"
"519",0.21,0.49,0.68,11.7,"6"
"520",0.365,0.49,0.78,11,"5"
"521",0.25,0.49,0.9,10,"6"
"522",0.41,0.49,0.64,9.1,"5"
"523",0.39,0.49,0.99,9.8,"5"
"524",0.4,0.49,0.55,9.4,"5"
"525",0.43,0.49,0.64,9.5,"5"
"526",0.64,0.24,0.67,9.9,"5"
"527",0.365,0.49,0.78,11,"5"
"528",0.38,0.49,0.77,11.4,"6"
"529",0.42,0.49,0.75,8.7,"6"
"530",0.63,0.24,0.57,9.4,"5"
"531",0.22,0.24,0.87,10.3,"6"
"532",0.38,0.49,0.61,10.3,"5"
"533",0.38,0.49,0.61,10.3,"5"
"534",0.27,0.24,0.66,12.8,"6"
"535",0.48,0.24,0.56,10,"6"
"536",0.22,0.24,0.87,10.3,"6"
"537",0.63,0.24,0.57,9.4,"5"
"538",0.825,0.24,0.77,10.7,"6"
"539",0.35,0.49,0.66,12,"7"
"540",0.5,0.74,0.62,11.2,"5"
"541",0.59,0.24,0.67,9.6,"5"
"542",0.46,0.49,0.73,11,"6"
"543",0.715,0.24,0.59,9.9,"5"
"544",0.66,0.24,0.72,11,"6"
"545",0.31,0.74,0.79,8.4,"6"
"546",0.47,0.49,0.59,9.1,"5"
"547",0.55,0.24,0.78,9.5,"6"
"548",0.31,0.49,0.86,10.7,"6"
"549",0.35,0.49,0.75,10.4,"6"
"550",0.53,0.49,0.61,9.4,"6"
"551",0.51,0.01,0.56,9.5,"6"
"552",0.43,0.24,0.73,10,"6"
"553",0.46,0.24,0.74,10,"6"
"554",1.04,0.24,0.62,11.5,"5"
"555",0.645,0.49,0.74,11.1,"5"
"556",0.645,0.49,0.74,11.1,"5"
"557",0.53,0.49,0.56,11.7,"6"
"558",0.645,0.49,0.74,11.1,"5"
"559",0.53,0.49,0.56,11.7,"6"
"560",0.47,0.49,0.68,12.7,"6"
"561",0.6,0.49,0.57,11.4,"5"
"562",0.44,0.49,0.58,9.2,"5"
"563",0.54,0.49,0.61,9.2,"5"
"564",0.29,0.49,0.61,10.1,"6"
"565",0.47,0.49,0.68,12.7,"6"
"566",0.6,0.49,0.57,11.4,"5"
"567",0.7,0.24,0.6,9,"6"
"568",0.7,0.24,0.6,9,"6"
"569",0.5,0.49,0.79,10.7,"6"
"570",0.36,0.24,0.57,11.7,"6"
"571",0.35,0.49,0.91,11,"6"
"572",0.36,0.24,0.57,11.7,"6"
"573",0.24,0.49,0.61,10.4,"5"
"574",0.59,0.49,0.56,9.6,"4"
"575",0.34,0.49,0.7,10,"6"
"576",0.27,0.49,0.8,10.2,"6"
"577",0.5,0.24,0.52,10,"4"
"578",0.44,0.49,0.6,9.5,"5"
"579",0.47,0.49,0.6,9.8,"5"
"580",0.31,0.49,0.51,9.8,"6"
"581",0.5,0.49,0.44,9.6,"5"
"582",0.5,0.49,0.44,9.6,"5"
"583",0.49,0.49,0.43,9.2,"5"
"584",0.28,0.49,0.66,9.9,"7"
"585",0.33,0.49,0.76,10.7,"7"
"586",0.51,0.24,0.66,9.6,"6"
"587",0.31,0.49,1.02,10.6,"7"
"588",0.73,0.24,0.59,9.3,"5"
"589",0.42,0.24,0.74,14,"8"
"590",0.29,0.49,0.74,10.5,"7"
"591",0.45,0.49,0.57,9.7,"5"
"592",0.39,0.49,0.5,11.5,"6"
"593",0.45,0.49,0.57,9.7,"5"
"594",0.49,0.58,0.58,9,"5"
"595",0.72,0.17,0.53,9.5,"5"
"596",0.595,0.41,0.57,9.3,"5"
"597",0.4,0.51,0.6,9.3,"6"
"598",0.58,0.58,0.63,10,"6"
"599",0.585,0.18,0.48,9.8,"6"
"600",0.59,0.45,0.7,9.3,"6"
"601",0.915,0.27,0.47,10,"4"
"602",0.46,0.52,0.56,9,"6"
"603",0.835,0,0.52,9.3,"5"
"604",0.46,0.52,0.56,9,"6"
"605",0.58,0.13,0.62,9.1,"6"
"606",0.6,0.13,0.59,9.2,"6"
"607",0.41,0.48,0.79,12.2,"7"
"608",0.48,0.41,0.53,10.5,"6"
"609",0.65,0.37,0.64,10.4,"6"
"610",0.36,0.19,0.52,12.7,"6"
"611",0.24,0.54,0.54,9.2,"5"
"612",0.38,0.55,0.54,9.4,"5"
"613",0.64,0,0.6,10,"6"
"614",0.39,0.38,0.74,9.8,"5"
"615",0.755,0.18,1.36,10.2,"6"
"616",0.6,0.5,0.57,9.7,"5"
"617",0.6,0.5,0.57,9.7,"5"
"618",0.31,0.51,0.93,9.8,"6"
